doi,articleType,citationStyle,citationStringAnnotated
10.1016/b978-0-12-045560-7.50017-2,7,0,"<author><family>Rossi</family>, <given>John J.</given>, <family>Kierzek</family>, <given>Ryszard</given>, <family>Huang</family>, <given>Ting</given>, <family>Walker</family>, <given>Peter</given> and <family>Itakura</family>, <given>Keiichi</given></author> (<issued><year>1982</year></issued>) <title>â€œTHE ROLE OF SYNTHETIC DNA IN THE PREPARATION OF STRUCTURAL GENES CODING FOR PROTEINS,â€</title> in <container-title>From Gene to Protein: Translation Into Biotechnology</container-title>, <publisher>Elsevier</publisher>, pp. <page>213â€“234</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/b978-0-12-045560-7.50017-2</URL>"
10.1512/iumj.1985.34.34027,3,0,"<author><family>Soria</family>, <given>Fernando</given></author> (<issued><year>1985</year></issued>) <container-title>Indiana University Mathematics Journal</container-title>, <volume>34</volume>(<issue>3</issue>), p. <page>463</page>. [online] Available from: <URL>http://dx.doi.org/10.1512/iumj.1985.34.34027</URL>"
10.5056/jnm.20.523.,3,0,"<author><family>Iorio</family>, <given>Natalya</given>, <family>Makipour</family>, <given>Kian</given>, <family>Palit</family>, <given>Amiya</given> and <family>Friedenberg</family>, <given>Frank K</given></author> (<issued><year>2014</year></issued>) <title>â€œPost-traumatic Stress Disorder Is Associated With Irritable Bowel Syndrome in African Americans.â€</title> <container-title>Journal of Neurogastroenterology and Motility</container-title>, <volume>20</volume>(<issue>4</issue>), pp. <page>523â€“530</page>. [online] Available from: <URL>http://dx.doi.org/10.5056/jnm.20.523.</URL>"
10.1016/0301-0104(94)87034-9,3,0,"<author><family>Keita</family>, <given>Bineta</given>, <family>Nadjo</family>, <given>Louis</given>, <family>CÃ©olin</family>, <given>RenÃ©</given>, <family>Agafonov</family>, <given>Viatcheslav</given>, et al.</author> (<issued><year>1994</year></issued>) <title>â€œAtomic force microscopy characterization of stable faces in cubic C60 and hexagonal C60, 2CCl4 single crystals.â€</title> <container-title>Chemical Physics</container-title>, <volume>179</volume>(<issue>3</issue>), pp. <page>595â€“605</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/0301-0104(94)87034-9</URL>"
10.1016/j.anifeedsci.2005.11.009,3,0,"<author><family>Sahin</family>, <given>K.</given>, <family>Onderci</family>, <given>M.</given>, <family>Sahin</family>, <given>N.</given>, <family>Gulcu</family>, <given>F.</given>, et al.</author> (<issued><year>2006</year></issued>) <title>â€œResponses of quail to dietary Vitamin E and zinc picolinate at different environmental temperatures.â€</title> <container-title>Animal Feed Science and Technology</container-title>, <volume>129</volume>(<issue>1â€“2</issue>), pp. <page>39â€“48</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/j.anifeedsci.2005.11.009</URL>"
10.3406/karst.2002.2831,3,0,"<author><family>Pulina</family>, <given>Marian</given> and <family>Tyc</family>, <given>Andrzej</given></author> (<issued><year>2002</year></issued>) <title>â€œLe dÃ©partement de gÃ©omorphologie du Karst de lâ€™UniversitÃ© de SilÃ©sie (Pologne)â€</title>. <container-title>Karstologiaâ€¯: revue de karstologie et de spÃ©lÃ©ologie physique</container-title>, <volume>40</volume>(<issue>1</issue>), pp. <page>55â€“56</page>. [online] Available from: <URL>http://dx.doi.org/10.3406/karst.2002.2831</URL>"
10.1007/bf03037361,3,0,"<author><family>Freund</family>, <given>Rudolf</given>, <family>MartÃ­n-Vide</family>, <given>Carlos</given> and <family>Mitrana</family>, <given>Victor</given></author> (<issued><year>2002</year></issued>) <title>â€œOn some operations on strings suggested by gene assembly in ciliates.â€</title> <container-title>New Generation Computing</container-title>, <volume>20</volume>(<issue>3</issue>), pp. <page>279â€“293</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/bf03037361</URL>"
10.1007/bf01445014,3,0,"<author><family>Buchberger</family>, <given>R.</given></author> (<issued><year>1965</year></issued>) <title>â€œGutartige Lungengeschwï¿½lste.â€</title> <container-title>Langenbecks Archiv fï¿½r Klinische Chirurgie</container-title>, <volume>312</volume>(<issue>1</issue>), pp. <page>19â€“40</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/bf01445014</URL>"
10.2118/172599-ms,22,0,"<author><family>Ali</family>, <given>Diyar H.</given>, <family>Al-Jawad</family>, <given>Mohammed S.</given> and <family>Van Kirk</family>, <given>Craig W.</given></author> (<issued><year>2015</year></issued>) <title>â€œDistribution of New Horizontal Wells by the Use of Artificial Neural Network Algorithm,â€</title> in <container-title>SPE Middle East Oil & Gas Show and Conference</container-title>, <publisher>Society of Petroleum Engineers</publisher>. [online] Available from: <URL>http://dx.doi.org/10.2118/172599-ms</URL>"
10.1002/vipr.v19:3,37,0,"Anon (<issued><year>2007</year></issued>) <container-title>Vakuum in Forschung und Praxis</container-title>, <volume>19</volume>(<issue>3</issue>). [online] Available from: <URL>http://dx.doi.org/10.1002/vipr.v19:3</URL>"
10.1002/rra.2905,3,0,"<author><family>OrdÃ³Ã±ez</family>, <given>A.</given>, <family>AndrÃ©s</family>, <given>C.</given> and <family>Ãlvarez</family>, <given>R.</given></author> (<issued><year>2015</year></issued>) <title>â€œForecasting of Hydrographs to Simulate Long Term Recharge From Rivers in Numerical Models of Mining Reservoirs; Application to A Coal Mine in NW Spain.â€</title> <container-title>River Research and Applications</container-title>, <volume>32</volume>(<issue>4</issue>), pp. <page>552â€“560</page>. [online] Available from: <URL>http://dx.doi.org/10.1002/rra.2905</URL>"
10.1136/postgradmedj-2018-136127,3,0,"<author><family>Bhattacharjee</family>, <given>Rajsmita</given>, <family>Dogra</family>, <given>Sunil</given> and <family>Vinay</family>, <given>Keshavamurthy</given></author> (<issued><year>2018</year></issued>) <title>â€œWaardenburg syndrome: when the eyes speak the truth.â€</title> <container-title>Postgraduate Medical Journal</container-title>, p. <page>postgradmedj-2018-136127</page>. [online] Available from: <URL>http://dx.doi.org/10.1136/postgradmedj-2018-136127</URL>"
10.2307/1324214,3,0,"Anon (<issued><year>1909</year></issued>) <title>â€œTaxation. Property Subject to Taxation. Water Power.â€</title> <container-title>Harvard Law Review</container-title>, <volume>22</volume>(<issue>3</issue>), p. <page>233</page>. [online] Available from: <URL>http://dx.doi.org/10.2307/1324214</URL>"
10.2118/176139-ms,22,0,"<author><family>Gupta</family>, <given>Anish</given>, <family>Kamat</family>, <given>Dahlila</given>, <family>Hanif</family>, <given>M</given>, <family>Zulkapli</family>, <given>B</given>, et al.</author> (<issued><year>2015</year></issued>) <title>â€œUnique Sand Separation Technology Provided Way Forward for Efficient Sand Management: Successful Trial in Malaysian Offshore,â€</title> in <container-title>SPE/IATMI Asia Pacific Oil & Gas Conference and Exhibition</container-title>, <publisher>Society of Petroleum Engineers</publisher>. [online] Available from: <URL>http://dx.doi.org/10.2118/176139-ms</URL>"
10.1016/0022-2836(71)90091-x,3,0,"<author><family>Hohn</family>, <given>B.</given>, <family>Von SchÃ¼tz</family>, <given>H.</given> and <family>Marvin</family>, <given>D.A.</given></author> (<issued><year>1971</year></issued>) <title>â€œFilamentous bacterial viruses.â€</title> <container-title>Journal of Molecular Biology</container-title>, <volume>56</volume>(<issue>1</issue>), pp. <page>155â€“165</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/0022-2836(71)90091-x</URL>"
10.1299/jsmeatem.2003.57,3,0,"<author><family>Takeda</family>, <given>Junji</given>, <family>Niinomi</family>, <given>Mitsuo</given> and <family>Akahori</family>, <given>Toshikazu</given></author> (<issued><year>2003</year></issued>) <title>â€œOS11(1)-1(OS11W0187) Effects of Frictional Wear Characteristics and Microstructure on Fretting Fatigue Strength of High Workable Titanium Alloy, Ti-4.5Al-3V-2Mo-2Fe.â€</title> <container-title>The Abstracts of ATEMâ€¯: International Conference on Advanced Technology in Experimental Mechanicsâ€¯: Asian Conference on Experimental Mechanics</container-title>, <volume>2003</volume>(<issue>0</issue>), p. <page>57</page>. [online] Available from: <URL>http://dx.doi.org/10.1299/jsmeatem.2003.57</URL>"
10.1007/bf01478230,3,0,"Anon (<issued><year>1959</year></issued>) <title>â€œTagesgeschichte.â€</title> <container-title>Klinische Wochenschrift</container-title>, <volume>37</volume>(<issue>13</issue>), pp. <page>736â€“736</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/bf01478230</URL>"
10.1017/s0266466605050541,3,0,"<author><family>Nordman</family>, <given>Daniel J.</given> and <family>Lahiri</family>, <given>Soumendra N.</given></author> (<issued><year>2005</year></issued>) <title>â€œVALIDITY OF THE SAMPLING WINDOW METHOD FOR LONG-RANGE DEPENDENT  LINEAR PROCESSES.â€</title> <container-title>Econometric Theory</container-title>, <volume>21</volume>(<issue>06</issue>). [online] Available from: <URL>http://dx.doi.org/10.1017/s0266466605050541</URL>"
10.1097/00006247-199207000-00018,3,0,"<author><family>JOY</family>, <given>LORETTA</given> and <family>MALAY</family>, <given>MARCELLA</given></author> (<issued><year>1992</year></issued>) <title>â€œEvaluation Instruments to Measure Professional Nursing Practice.â€</title> <container-title>Nursing Management (Springhouse)</container-title>, <volume>23</volume>(<issue>7</issue>), pp. <page>73â€“77</page>. [online] Available from: <URL>http://dx.doi.org/10.1097/00006247-199207000-00018</URL>"
10.1016/0022-5088(64)90126-2,3,0,"<author><family>Allbutt</family>, <given>M.</given>, <family>Feenan</family>, <given>K.</given> and <family>Fowles</family>, <given>G.W.A.</given></author> (<issued><year>1964</year></issued>) <title>â€œThe reactions of Niobium(V) and Tantalum(V) Chlorides and Bromides with some nitrogen ligands.â€</title> <container-title>Journal of the Less Common Metals</container-title>, <volume>6</volume>(<issue>4</issue>), pp. <page>299â€“306</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/0022-5088(64)90126-2</URL>"
10.1111/j.1526-4610.1983.hed2302092.x,3,0,"Anon (<issued><year>1983</year></issued>) <title>â€œAbstracts of Interest.â€</title> <container-title>Headache: The Journal of Head and Face Pain</container-title>, <volume>23</volume>(<issue>2</issue>), pp. <page>92â€“92</page>. [online] Available from: <URL>http://dx.doi.org/10.1111/j.1526-4610.1983.hed2302092.x</URL>"
10.1139/v91-242,3,0,"<author><family>Mucalo</family>, <given>Michael R.</given> and <family>Cooney</family>, <given>Ralph P.</given></author> (<issued><year>1991</year></issued>) <title>â€œThe effect of added salts on carbon monoxide adsorption on platinum and palladium hydrosols: an FTIR study.â€</title> <container-title>Canadian Journal of Chemistry</container-title>, <volume>69</volume>(<issue>11</issue>), pp. <page>1649â€“1655</page>. [online] Available from: <URL>http://dx.doi.org/10.1139/v91-242</URL>"
10.1109/77.233533,3,0,"<author><family>Bradley</family>, <given>P.</given></author> (<issued><year>1993</year></issued>) <title>â€œA 6-bit Josephson flash A/D converter with GHz input bandwidth.â€</title> <container-title>IEEE Transactions on Applied Superconductivity</container-title>, <volume>3</volume>(<issue>1</issue>), pp. <page>2550â€“2557</page>. [online] Available from: <URL>http://dx.doi.org/10.1109/77.233533</URL>"
10.22230/cjc.2016v41n3a3182,3,0,"<author><family>VallÃ©e</family>, <given>Jean-FranÃ§ois</given></author> (<issued><year>2016</year></issued>) <title>â€œA Dialogue between Dialogism and Interality.â€</title> <container-title>Canadian Journal of Communication</container-title>, <volume>41</volume>(<issue>3</issue>). [online] Available from: <URL>http://dx.doi.org/10.22230/cjc.2016v41n3a3182</URL>"
10.1142/s2010269011000117,3,0,"<author><family>KARARI</family>, <given>PETER</given>, <family>BYRNE</family>, <given>SEAN</given>, <family>SKARLATO</family>, <given>OLGA</given> and <family>AHMED</family>, <given>KAWSER</given></author> (<issued><year>2011</year></issued>) <title>â€œDEVELOPMENT INTERVENTIONS AND CONFLICT TRANSFORMATION: AN EXPLORATION OF PERCEPTIONS ABOUT THE IMPACT OF ECONOMIC AID IN PEACEBUILDING AND ECONOMIC DEVELOPMENT IN NORTHERN IRELAND AND THE BORDER COUNTIES.â€</title> <container-title>International Journal of Development and Conflict</container-title>, <volume>01</volume>(<issue>02</issue>), pp. <page>141â€“164</page>. [online] Available from: <URL>http://dx.doi.org/10.1142/s2010269011000117</URL>"
10.1042/bj0980742,3,0,"<author><family>Glimcher</family>, <given>MJ</given> and <family>Levine</family>, <given>PT</given></author> (<issued><year>1966</year></issued>) <title>â€œStudies of the proteins, peptides and free amino acids of mature bovine enamel.â€</title> <container-title>Biochemical Journal</container-title>, <volume>98</volume>(<issue>3</issue>), pp. <page>742â€“753</page>. [online] Available from: <URL>http://dx.doi.org/10.1042/bj0980742</URL>"
10.2307/j.ctt5hj7ms.15,7,0,"Anon (<issued><year>2007</year></issued>) <title>â€œConclusion,â€</title> in <container-title>Japanese and Chinese Immigrant Activists</container-title>, <publisher>Rutgers University Press</publisher>, pp. <page>200â€“206</page>. [online] Available from: <URL>http://dx.doi.org/10.2307/j.ctt5hj7ms.15</URL>"
10.1007/s00520-004-0679-1,3,0,"<author><family>Scrimin</family>, <given>Sara</given>, <family>Axia</family>, <given>Giovanna</given>, <family>Tremolada</family>, <given>Marta</given>, <family>Pillon</family>, <given>Marta</given>, et al.</author> (<issued><year>2005</year></issued>) <title>â€œConversational strategies with parents of newly diagnosed leukaemic children: An analysis of 4880 conversational turns.â€</title> <container-title>Supportive Care in Cancer</container-title>, <volume>13</volume>(<issue>5</issue>), pp. <page>287â€“294</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/s00520-004-0679-1</URL>"
10.1093/benz/9780199773787.article.b00059491,38,0,"Anon (<issued><year>2011</year></issued>) <title>â€œEriksen, Lars Martin.â€</title> <container-title>Benezit Dictionary of Artists</container-title>. [online] Available from: <URL>http://dx.doi.org/10.1093/benz/9780199773787.article.b00059491</URL>"
10.5121/csit.2014.4308,22,0,"<author><family>T.S</family>, <given>Udhaya Suriya</given> and <family>P</family>, <given>Rangarajan</given></author> (<issued><year>2014</year></issued>) <title>â€œAnalysis of Signal Transition Activity in FIR Filters Implemented by Parallel Multiplier Accumulator Based on Modified Booth Algorithm,â€</title> in <container-title>Computer Science & Information Technology ( CS & IT )</container-title>, <publisher>Academy & Industry Research Collaboration Center (AIRCC)</publisher>. [online] Available from: <URL>http://dx.doi.org/10.5121/csit.2014.4308</URL>"
10.2307/j.ctt1pk86c2.16,7,0,"Anon (n.d.) <title>â€œBack Matter,â€</title> in <container-title>Blood and Faith</container-title>, <publisher>Syracuse University Press</publisher>, pp. <page>269â€“269</page>. [online] Available from: <URL>http://dx.doi.org/10.2307/j.ctt1pk86c2.16</URL>"
10.1016/j.matlet.2014.02.066,3,0,"<author><family>Ren</family>, <given>Pingyuan</given>, <family>Liu</family>, <given>Xiaozhi</given>, <family>Zhang</family>, <given>Ke</given>, <family>Zhang</family>, <given>Peng</given>, et al.</author> (<issued><year>2014</year></issued>) <title>â€œGreen photoluminescence from erbium-doped molybdenum trioxide.â€</title> <container-title>Materials Letters</container-title>, <volume>122</volume>, pp. <page>320â€“322</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/j.matlet.2014.02.066</URL>"
10.1086/657417,3,0,"<author><family>Cassone</family>, <given>Antonio</given>, <family>Bromuro</family>, <given>Carla</given>, <family>Chiani</family>, <given>Paola</given> and <family>Torosantucci</family>, <given>Antonella</given></author> (<issued><year>2010</year></issued>) <title>â€œHyr1 Protein and Î²â€Glucan Conjugates as Antiâ€CandidaVaccines.â€</title> <container-title>The Journal of Infectious Diseases</container-title>, <volume>202</volume>(<issue>12</issue>), pp. <page>1930â€“1930</page>. [online] Available from: <URL>http://dx.doi.org/10.1086/657417</URL>"
10.1007/s10865-016-9765-3,3,0,"<author><family>Hood</family>, <given>Megan</given>, <family>Wilson</family>, <given>Rebecca</given>, <family>Corsica</family>, <given>Joyce</given>, <family>Bradley</family>, <given>Lauren</given>, et al.</author> (<issued><year>2016</year></issued>) <title>â€œWhat do we know about mobile applications for diabetes self-management? A review of reviews.â€</title> <container-title>Journal of Behavioral Medicine</container-title>, <volume>39</volume>(<issue>6</issue>), pp. <page>981â€“994</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/s10865-016-9765-3</URL>"
10.1515/9783110272567.91,7,0,"<author><family>Baldus</family>, <given>Manfred</given> and <family>Muckel</family>, <given>Stefan</given> (eds.)</author> (<issued><year>2011</year></issued>) <title>â€œ13. Doppelstellung als Arbeitnehmer und Kirchenbeamter. LAG Rheinland- Pfalz, Urteil vom 6.3.2008 (2 Sa 647/07),â€</title> in <container-title>1.1.-30.6.2008</container-title>, <publisher>DE GRUYTER</publisher>. [online] Available from: <URL>http://dx.doi.org/10.1515/9783110272567.91</URL>"
10.1016/j.desal.2017.11.008,3,0,"<author><family>Fornarelli</family>, <given>Roberta</given>, <family>Shahnia</family>, <given>Farhad</given>, <family>Anda</family>, <given>Martin</given>, <family>Bahri</family>, <given>Parisa A.</given> and <family>Ho</family>, <given>Goen</given></author> (<issued><year>2018</year></issued>) <title>â€œSelecting an economically suitable and sustainable solution for a renewable energy-powered water desalination system: A rural Australian case study.â€</title> <container-title>Desalination</container-title>, <volume>435</volume>, pp. <page>128â€“139</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/j.desal.2017.11.008</URL>"
10.1111/j.1399-0004.1978.tb02207.x,3,0,"<author><family>Bartsocas</family>, <given>Christos S.</given></author> (<issued><year>2008</year></issued>) <title>â€œPreliminary Report of the Committee on Teaching and Training in Medical Genetics.â€</title> <container-title>Clinical Genetics</container-title>, <volume>14</volume>(<issue>5</issue>), pp. <page>316â€“316</page>. [online] Available from: <URL>http://dx.doi.org/10.1111/j.1399-0004.1978.tb02207.x</URL>"
10.1088/1757-899x/146/1/012030,3,0,"<author><family>Saleem</family>, <given>M. R.</given>, <family>Ali</family>, <given>R.</given>, <family>Honkanen</family>, <given>S.</given> and <family>Turunen</family>, <given>J.</given></author> (<issued><year>2016</year></issued>) <title>â€œBio-molecular sensors based on guided mode resonance filters.â€</title> <container-title>IOP Conference Series: Materials Science and Engineering</container-title>, <volume>146</volume>, p. <page>012030</page>. [online] Available from: <URL>http://dx.doi.org/10.1088/1757-899x/146/1/012030</URL>"
10.3390/bs6020010,3,0,"<author><family>Sevick</family>, <given>Marisa</given>, <family>Eklund</family>, <given>Elizabeth</given>, <family>Mensch</family>, <given>Allison</given>, <family>Foreman</family>, <given>Matthew</given>, et al.</author> (<issued><year>2016</year></issued>) <title>â€œUsing Free Internet Videogames in Upper Extremity Motor Training for Children with Cerebral Palsy.â€</title> <container-title>Behavioral Sciences</container-title>, <volume>6</volume>(<issue>2</issue>), p. <page>10</page>. [online] Available from: <URL>http://dx.doi.org/10.3390/bs6020010</URL>"
